category,proverb,number,book_page
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",д) За маё дабро да мяне ў рабро,13325,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Ідзе ноч абнімець, там i заначуеш; няўгож людзі — тата­ ры",1479,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хто багат, той мне брат",1796,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Блізкая капейка дальні руб перацягне,2412,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На вадохрышча чарцей з вады выганяюць,584,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Мы не малочаны, а яны i на ток не валочаны",1129,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не жартуй, кошка, з сабакаю",294,207
ХАРЧАВАННЕ,Укрой — не ўдой,729,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Маім дабром да й мне ж чалом,401,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Прымі падарожнага — сам будзеш у дарозе,1480,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Калі багат, то мой брат, калі худы, адыйдзі туды",1797,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хто мяшка не мае, той грошы не хавае",2413,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"На святога Ігната зіма багата,  a Ігнат  грамніцам  рад",585,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Як не будзе галава без  воласа,  так сцярня без коласа",1130,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Жывець кошка, жывець i сабака",295,207
ХАРЧАВАННЕ,От хлеб удаўся: пад скарынку кот схаваўся,730,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Маім салам ды па маёй шкуры
a) Маім салам ды мяне i намазаў",402,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Для дарагога госця i вароты насцеж,1481,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пакуль багат, датуль не брат,  а як прыдзе кадук, тады  брат i гайдук",1798,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,У анучцы грошы вядуцца,2414,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Грамніца — зімы палавіца
a) Грамніцы — палавіна зіміцы",586,95
СЕЛЬСКАЯ ГАСПАДАРКА,"а) Як галава не будзе без воласа, так ржышча без коласа",1130,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Жыве кот i сабака, ды жытка не аднака",296,207
ХАРЧАВАННЕ,"а) У гаспадыні хлеб не ўдаўся: пад скарынку кот схаваўся
б) Мой хлеб вельмі ўдаўся: пад скарынку кот схаваўся",730,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Маёй пугай ды па маёй жа кабыле,403,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,За пастой грошай не бяруць,1482,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Ніколі багач з худаком не братаецца
а) Багаты з бедным не знаецца",1799,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хоць я сама нячоха, але грошай панчоха",2415,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Грамніцы — скідай рукавіцы,587,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Усё лета спарыня на ніўцы была, а сёння спарыня дамоў  пайшла",1131,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Жыве кот i сабака, ды толькі жытка не аднака: кот на пя~  чы, сабака пад дзвярыма",297,207
ХАРЧАВАННЕ,"Хоць вяліка луста, ды ў сярэдзіне пуста",731,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Чы Мікітай па палцы, чы палкай па Мікіце — усё ж Мікіце  плоха",404,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"За пастой не плацяць, а дорага бяруць",1483,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Бог няроўна дзеліць
а) Не ўсім бог роўна дзеліць",1800,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Яму залатыя козы скачуць,2416,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Грамніца — хлеба палавіца, зімы трэцяя часць",588,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Красна поле снапамі, а гумно — умалотам",1132,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не кот друг чалавека, а сабака, але кот просіць, каб гаспадар што зарэзаў, а сабака просіць, каб што здохла",298,207
ХАРЧАВАННЕ,"ВялііПгтірог, да ў сярэдзіне плох",732,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","У палкі два канцы — адзін канец па нам, a другі па па­ нам",405,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Заначую — журбы не пачую,1484,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"в) Бог няроўна дзеля: аднаму крова, другому целя
г) Не каждаму бог пароўні даў",1800,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Збірай, збірай грошы, а чорт на ix дзірку найдзе",2417,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"На грамніцы трэба, каб было хлеба палавіца, а пошару —  траціна",589,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі ўрод, дак i ўмалот
а) Дзе ўрод, там i ўмалот",1133,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Кату ляжачы хлеб,299,207
ХАРЧАВАННЕ,"Шукаючы пірага, хлеб загубіў",733,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не бі бабра, не будзе дабра
а) Калі заб'еш бабра, не будзеш мець дабра",406,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе чуюць, там начуюць
а) Дзе чуе, там i начуе",1485,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Як бог лесу не зраўнаваў, так i людзей
а) Бог лес не ўраўняў, а людзей тым больш",1801,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,а) Няхай дзеньгі копіць: чорт дзірку найдзець,322,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На грамніцы нап'ецца пятух вадзіцы,590,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі няўрод, дак i неўмалот
a) Каді няўродна, то i неўмалотна",1134,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Пякотка пячэ, котка сала валачэ",300,207
ХАРЧАВАННЕ,"Хлеб не зяць — паглядзяць ды з'ядзяць
а) Хлеб не зяць: які е, такі i з'ядзяць",734,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Бабёр дабёр, толька каб сваёй скуры  за яго  не аддаў",407,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе днюю, там i начую",1486,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Бог з людзьмі робіць ігрыска: аднаго ўгару, а другога  нізка",1802,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Чалавек грошы збірае, а чорт мяшок шые",2418,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На грамніцы можна пеўню напіцца,591,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Намалацілі — ні на семя, ні на емя",1135,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Для мышы i кот вялікі звер,301,207
ХАРЧАВАННЕ,"Хлеб не нявеста: які спячэцца, такі з'есца
а) Хлеб не нявеста: які ўдаецца, такі з'есца",735,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","I за шчэпку пан знойдзе прычэпку
а) I за шчэпку знойдзе прычэпку",408,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Начую да й не чую,1487,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"У натуры ўсе роўны, a ў шкатулі не",1803,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Золата за плячыма, а чорт перад вачыма",2419,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Як на грамніцы нап'ецца певень вадзіцы, то на Юр'я наесца вол травіцы",592,96
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі ўмалотна, дак i завозна",1136,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Кошка з дому — мышка на стол,302,208
ХАРЧАВАННЕ,"Хлеб не свякроўка: які ўдаўся, такі i лоўка
а) Хлеб не свякроў, з'ядзім да пакроў",736,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Хоча знайсці прычыну, то знайдзе [прычапіцца] хоць за  лучыну",409,318
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не чуеш, то галодны заначуеш",1488,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Які крук, такая й рыбіна",1804,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грошай з сабой на той свет не забярэш,2420,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі на грамніцы певень не нап'ецца вадзіцы, то на Юр'я  вол не наесца травіцы",593,96
СЕЛЬСКАЯ ГАСПАДАРКА,Няма зерня без мякіны,1137,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Катку забаўка, а мышцы смерць
а) Кошцы жартушкі, а мышцы смерць [на уме]",303,208
ХАРЧАВАННЕ,"Хлеб не маці, не будзе касцей аб'ядаці",737,239
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",а) За лучынку можна найсці прычынку,409,319
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,У людзей ноч начаваць — не век векаваць,1489,405
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Аднаму годзі, а другому глодзі",1805,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Пашкадуеш грошай, пабядуеш горшы",2421,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Як на грамніцы адліга — з ураджаю будзе хвіга,594,96
СЕЛЬСКАЯ ГАСПАДАРКА,"Не пакланюся багачу, як свой намалачу
а) Не кланяюсь багачу — свайго хлеба намалачу",1138,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Пагрыз грызь ды i з хаты брысь,304,208
ХАРЧАВАННЕ,Цяслявы хлеб не жонка,738,240
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Што гадзінка, то новая прычынка",410,319
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе начаваць, там не дняваць",1490,405
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Каму долата, а каму золата",1806,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,За грошы ўсяго не купіш,2422,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Стрэчанне — палавіна зімы,595,96
СЕЛЬСКАЯ ГАСПАДАРКА,"Пакуль  цэп,  патуль  (датуль)  хлеб
а) Пакуль на гумне цэп, патуль (датуль) на стале хлеб",1139,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Пабілі катка мышыныя слёзкі,305,208
ХАРЧАВАННЕ,Hi адной печкі хлеб адзін,739,240
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Абы прыгана — у сё на Сцяпана,411,319
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Ідзе не сабіраешся ноч начаваць, пераначуеш дзве i тры",1491,405
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Аднаму аж з горла прэ, a другі з голаду мрэ",1807,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грошы здароўя не дадуць,2423,483
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Стрэчанне святое лета сустракаець,596,96
СЕЛЬСКАЯ ГАСПАДАРКА,"Што родзіцца, усё годзіцца",1140,137
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Кошку лашчыць, а яна кіпцюры выпушчаець",306,208
ХАРЧАВАННЕ,"Жывём, хлеб жуём",740,240
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",За ўцечкі грэюць (чэшуць) плечкі,412,319
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Госць лавы не праседзіць,1492,405
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Адны пануюць, a другія гаруюць
а) Хто пануе, а хто гаруе",1808,428
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"За свой грош купіш сабе хваробы
а) За свой грош — хвароба",2424,483
